Approach,Segment_Length,Fold,Accuracy,Precision,Recall,F1_Score
LR_SMV,32,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_SMV,32,2,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273
LR_SMV,32,3,0.5652173913043478,0.5,0.5,0.5
LR_SMV,32,4,0.5217391304347826,1.0,0.3888888888888889,0.56
LR_SMV,32,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_SMV,64,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_SMV,64,2,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435
LR_SMV,64,3,0.6086956521739131,0.5555555555555556,0.5,0.5263157894736842
LR_SMV,64,4,0.5217391304347826,1.0,0.3888888888888889,0.56
LR_SMV,64,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_SMV,128,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_SMV,128,2,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435
LR_SMV,128,3,0.6086956521739131,0.5555555555555556,0.5,0.5263157894736842
LR_SMV,128,4,0.5217391304347826,1.0,0.3888888888888889,0.56
LR_SMV,128,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_SMV,256,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_SMV,256,2,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435
LR_SMV,256,3,0.5652173913043478,0.5,0.5,0.5
LR_SMV,256,4,0.5217391304347826,1.0,0.3888888888888889,0.56
LR_SMV,256,5,0.6956521739130435,0.7,0.6363636363636364,0.6666666666666666
LR_SMV,512,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_SMV,512,2,0.6956521739130435,0.8,0.6153846153846154,0.6956521739130435
LR_SMV,512,3,0.6086956521739131,0.5555555555555556,0.5,0.5263157894736842
LR_SMV,512,4,0.5217391304347826,1.0,0.3888888888888889,0.56
LR_SMV,512,5,0.6956521739130435,0.7,0.6363636363636364,0.6666666666666666
LR_SMV,1024,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_SMV,1024,2,0.6521739130434783,0.7777777777777778,0.5384615384615384,0.6363636363636364
LR_SMV,1024,3,0.5652173913043478,0.5,0.5,0.5
LR_SMV,1024,4,0.5217391304347826,1.0,0.3888888888888889,0.56
LR_SMV,1024,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_WA,32,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_WA,32,2,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273
LR_WA,32,3,0.6521739130434783,0.625,0.5,0.5555555555555556
